"gene","drug","approved","score","interaction_types","sources"
"FLT3","MRX-2843",FALSE,0.708910573570751,"","CKB-CORE"
"FLT3","METFORMIN",TRUE,0.00875198238976236,"","CKB-CORE"
"FLT3","LINIFANIB",FALSE,0.0270061170884096,"inhibitor; inhibitor","DTC; TdgClinicalTrial; GuideToPharmacology; CKB-CORE; CIViC; ChEMBL"
"FLT3","IMATINIB",TRUE,0.00647406916502969,"","CKB-CORE"
"FLT3","RUSERONTINIB",FALSE,0.157535683015722,"inhibitor; inhibitor","ChEMBL; GuideToPharmacology"
"FLT3","HC-7366",FALSE,0.118151762261792,"","CKB-CORE"
"FLT3","K 252A",FALSE,0.157535683015722,"","CIViC"
"FLT3","FLONOLTINIB MALEATE",FALSE,0.236303524523584,"","CKB-CORE"
"FLT3","COMPOUND 14K [PMID: 21982499]",FALSE,0.0472607049047167,"inhibitor","GuideToPharmacology"
"FLT3","TOFACITINIB",TRUE,0.0429642771861061,"","CKB-CORE"
"FLT3","4SC-203",FALSE,0.0590758811308959,"inhibitor","ChEMBL"
"FLT3","OLVEREMBATINIB",FALSE,0.118151762261792,"","CKB-CORE"
"FLT3","SGI-1776",FALSE,0.0393839207539306,"inhibitor","GuideToPharmacology"
"FLT3","ALISERTIB",FALSE,0.0100554691286631,"","CKB-CORE"
"FLT3","MAX-40279",FALSE,0.0590758811308959,"inhibitor","GuideToPharmacology"
"FLT3","SP-600125",FALSE,0.00265509578116386,"","DTC"
"FLT3","SHP2 INHIBITOR ERAS-601",FALSE,0.236303524523584,"","CKB-CORE"
"FLT3","NVP-TAE684",FALSE,0.00229420897595712,"","DTC"
"FLT3","AZD1480",FALSE,0.0590758811308959,"","CKB-CORE"
"FLT3","MELK-TI",FALSE,0.0590758811308959,"inhibitor","GuideToPharmacology"
"FLT3","MIRDAMETINIB",TRUE,0.0315071366031445,"","CKB-CORE"
"FLT3","SORAFENIB TOSYLATE",TRUE,0.014768970282724,"inhibitor","ChEMBL"
"FLT3","IMD-0354",FALSE,0.0472607049047167,"","DTC"
"FLT3","TRAMETINIB DIMETHYL SULFOXIDE",TRUE,0.0308221988509022,"","CKB-CORE"
"FLT3","ZOTIRACICLIB",FALSE,0.0393839207539306,"inhibitor; inhibitor","GuideToPharmacology; ChEMBL"
"FLT3","OMACETAXINE MEPESUCCINATE",TRUE,0.118151762261792,"","CKB-CORE"
"FLT3","GLASDEGIB",TRUE,0.157535683015722,"","CKB-CORE"
"FLT3","IBRUTINIB",TRUE,0.0244451921920949,"","CKB-CORE"
"FLT3","TALAZOPARIB",TRUE,0.0152453886789409,"","CKB-CORE"
"FLT3","TTT-3002",FALSE,0.118151762261792,"inhibitor","GuideToPharmacology"
"FLT3","AKN-028",FALSE,0.236303524523584,"inhibitor","ChEMBL"
"FLT3","TAFETINIB",FALSE,0.0472607049047167,"inhibitor","GuideToPharmacology"
"FLT3","REBASTINIB",FALSE,0.118151762261792,"","CKB-CORE"
"FLT3","ANTHRACYCLINE ANTINEOPLASTIC ANTIBIOTIC",FALSE,0.0393839207539306,"","CIViC"
"FLT3","SU-014813",FALSE,0.0337576463605119,"inhibitor","ChEMBL"
"FLT3","FN-1501",FALSE,0.472607049047167,"","CKB-CORE"
"FLT3","ANTI-FLT3/CD3 BISPECIFIC ANTIBODY CLN-049",FALSE,0.236303524523584,"","CKB-CORE"
"FLT3","PF-562271",FALSE,0.00454429854853045,"inhibitor","GuideToPharmacology; DTC"
