"gene","stat"
"SH3BP5L",1.69609242410502
"TSHR",1.69514696648797
"CCDC28A",1.69448509281281
"CRYM",1.69316317349212
"FAM136A",1.69196307274271
"VKORC1L1",1.69047027338746
"ATMIN",1.69023700708698
"AC021188.1",1.68916850711317
"EXOSC3",1.68882905656573
"MADCAM1",1.68850982486055
"PEX11B",1.68824556318702
"MED7",1.6875972398731
"MRPL58",1.68735607740107
"TMPRSS3",1.68591330246367
"DDHD2",1.68564906170231
"ZNF180",1.68501643367859
"FAM118B",1.68446413957911
"INO80",1.68392724391313
"MED27",1.68370225435779
"FAM107B",1.68314209097673
"LRR1",1.68313041371553
"ILKAP",1.68268485349543
"BTRC",1.6802749977336
"ZC3H13",1.6783905994775
"SYCP2",1.67531797877645
"ARFGAP1",1.67447348709205
"TRAV6",1.67412061325999
"FAM193B",1.67284264666441
"GOLGA5",1.67245993756602
"TIGIT",1.67245421668345
"FAM24B",1.67234215843011
"DCLRE1C",1.67178766488632
"NR2C2AP",1.67053327576846
"TMEM43",1.67034389484993
"POLR3F",1.67012285816325
"AHI1",1.67004124145363
"IGKC",1.66985680618447
"PTPRC",1.66976000042413
"POLD3",1.6696982745239
"ABCG1",1.66962359459683
"ZEB2",1.66874897691864
"CCDC12",1.66809679994143
"ERICD",1.66801443932355
"B3GLCT",1.66787075719794
"MRPL19",1.66671550538095
"ZCCHC18",1.66362570927475
"ZNF37A",1.66291400500909
"BMP8A",1.66090294809878
"NOP14-AS1",1.66000338538102
"GCN1",1.65994089305503
"GIMAP4",1.65976380219347
"EAPP",1.65969438948172
"TRBV4-2",1.65810422319312
"GPATCH2",1.65778259682312
"ATXN1",1.65727168278745
"KMT2B",1.65678694147319
"NPHP1",1.65571207603338
"AP1M1",1.65483649553294
"PSMD5",1.65425835235147
"KMT2A",1.65385267983124
"SARNP",1.65275113639345
"SIRT7",1.65199260044498
"ABRAXAS2",1.65095636991667
"THOC5",1.65072585339436
"NME7",1.64880813176246
"RUFY2",1.64849766571809
"ARHGAP30",1.64840543268771
"CHD8",1.6483273848291
"HIST1H4C",1.64785989632908
"SLC38A9",1.64664286600256
"C17orf80",1.64560351092865
"LRRC8C",1.64469809249953
"UBE2M",1.64373789117893
"TRAV13-2",1.64357666499787
"LRRC42",1.64221886192215
"GTF2E2",1.6420340581207
"MEAF6",1.64089988807585
"PROSER3",1.6403356966623
"ADAM19",1.6400256162462
"ZNF148",1.63945771110485
"ASH1L",1.63937011855174
"ZSCAN32",1.63931677121955
"PANK4",1.63930072073171
"SUDS3",1.63902207814714
"ZNF212",1.63867853694802
"ZDHHC13",1.6383429011884
"JPT2",1.63771475688262
"OGA",1.63770271388475
"ZNF709",1.63729459868719
"ARNTL",1.63604177806307
"EVC2",1.63583271531662
"BTN2A1",1.63550998882543
"NSMCE4A",1.63538429634877
"OVCH1-AS1",1.6353842831615
"C4orf48",1.63493570271314
"EXTL3",1.63319659329357
"TTC33",1.63249949483918
"RELCH",1.63224077059124
"ZSCAN2",1.63201480709973
"RPUSD3",1.63170204066259
"ZNF8",1.63136473213311
"CEP135",1.63135105808046
"CYTOR",1.63121512946154
"PPP3CC",1.63109716684275
"C1orf50",1.63041803354618
"RLN1",1.62998953785245
"ACD",1.62897124657273
"PSMA1",1.62731965328888
"AKAP5",1.62714577051264
"ZNF230",1.62696807048065
"DHX16",1.62694406068856
"BUB1B",1.62619685296001
"CXCL13",1.62600834817536
"IL26",1.62531412278949
"ARHGEF7",1.62509934163876
"TTC31",1.62367395718903
"WDR19",1.62366053287612
"TBC1D10B",1.62314160736062
"BRD3",1.62224571753721
"DNAJC30",1.62221813977637
"CDKN2A",1.62194014281873
"TRIT1",1.62178221159237
"DNAJC9",1.62163334703504
"SPATA13",1.62117392031161
"SV2A",1.62076439259139
"EZH1",1.62071859586411
"CHMP1A",1.6196308680379
"INTS5",1.61950619735173
"ABCB1",1.61944232973849
"PPP1R8",1.61907241871499
"LPAR2",1.61890309370081
"CWF19L1",1.61879376455612
"IL3RA",1.61768233319063
"COL4A1",1.61658039491555
"AC005392.2",1.6165210163366
"CRIM1",1.61642751359542
"OPTN",1.61642179910124
"KIAA1586",1.61597688966374
"UBE2T",1.61566140902385
"TRBV11-1",1.61377947952381
"ASPM",1.61310966522595
"ARPP19",1.61302922128434
"NPDC1",1.61302861991541
"PPDPF",1.61176425763326
"CENPV",1.61083269911474
"PSMC3IP",1.61013772081718
"MMAA",1.60989672445218
"AC108047.1",1.60953062753991
"CAMK2N1",1.60947786036844
"GPC1",1.60947600858552
"UTP6",1.60862380097114
"PSMG4",1.60854568001795
"BOD1L1",1.60846773693183
"MZT2A",1.60802274775209
"PEX14",1.60794874580152
"APOBEC3B",1.60703073653998
"LSM10",1.60604589075081
"JAM2",1.60596760381364
"SEL1L",1.60529577528349
"TMEM186",1.60518611502152
"NT5DC2",1.60514737059617
"YIPF3",1.6049884415065
"NDUFAF6",1.60495385254916
"THAP3",1.60440727846408
"ENOSF1",1.60436671375694
"CEP295",1.60392769900929
"DVL3",1.60389030168037
"RAB11FIP4",1.60219437803834
"MTR",1.60186636800164
"PRSS21",1.60183426195249
"NSD2",1.6016158655686
"SLC35A3",1.601548274674
"OTUD4",1.6010422756514
"CYTIP",1.60082405700783
"ZNF655",1.59966851187157
"CBX6",1.5996411107361
"TRBV5-5",1.59829503325277
"ZNF790",1.59743589417442
"LINC00294",1.59718499830315
"ESCO1",1.59654323423711
"ATG5",1.59592699429907
"NDC80",1.59546170833691
"TBC1D13",1.59393191264025
"ZNF416",1.59356704221298
"CBWD1",1.59352825185414
"PREX1",1.59291827394706
"TTC4",1.592665604696
"ZNF880",1.59192747450554
"TTC39A",1.59076704401802
"LRRN3",1.5907081347925
"PGLYRP2",1.5896975944945
"PYGO2",1.58954754505576
"KLF13",1.58935395059528
"ABCF3",1.58862083389022
"PTPRA",1.58804498244979
"AC022916.1",1.58795050943078
