"","baseMean","log2FoldChange","lfcSE","stat","pvalue","padj"
"PIK3CD-AS1",9.62474303986801,-0.209096950583933,1.03719552426966,-0.201598392676414,0.840230701888042,0.975456118196208
"SLC16A11",32.8335900389841,0.153747463668063,0.762781220117263,0.201561679303572,0.840259405772574,0.975456118196208
"ANKRD33",3.49091594832231,0.320200134180984,1.58927125626058,0.201476074596849,0.840326335550888,NA
"ANGPT2",4.8639538004821,-0.257857986801636,1.28067817877387,-0.201344874204472,0.840428916416901,NA
"SOCS2-AS1",12.9606904679989,0.166257846183083,0.82591548025604,0.201301283433435,0.840462999072136,0.975480433702318
"AC114811.2",17.5694324742295,0.192326934216639,0.955785087896634,0.201224037340745,0.84052339681004,0.975480433702318
"AC109446.3",6.56731212100387,-0.22999351822865,1.14310421137479,-0.201200831857703,0.84054154106563,NA
"ESPN",63.6120307047794,0.108088022588081,0.537239163623911,0.201191629178671,0.840548736619567,0.975480433702318
"AC010336.1",6.15221625087331,-0.230843592752792,1.14754776458174,-0.201162513559452,0.840571502144184,NA
"HIST1H1B",329.998763596132,-0.107728431553502,0.535577381559437,-0.201144475593479,0.840585606110268,0.975480433702318
"IFI35",658.052867759327,-0.0749386647270695,0.372637177635723,-0.20110356460548,0.840617594783984,0.975480433702318
"AC005840.4",4.80495355352218,0.355767647049333,1.76975392511554,0.201026618447029,0.840677760398278,NA
"AC114488.2",7.43635625194179,-0.223745279476734,1.11403339656242,-0.200842524261074,0.840821710799149,NA
"CASC3",955.247088006868,-0.0587485878122839,0.292518250092674,-0.200837341921988,0.840825763148596,0.975480433702318
"LINC02680",9.07067541724354,-0.192881102461119,0.960585952982713,-0.200795256126955,0.840858672449758,0.975480433702318
"AC007365.1",25.3917975758635,0.150260146052427,0.748830259878359,0.200659821194773,0.840964578691827,0.975480433702318
"EEF2KMT",104.751350400427,-0.0961468931349489,0.479294665682803,-0.200600799506037,0.841010732864327,0.975480433702318
"BCL2L13",589.138779627888,-0.0672476708150964,0.335330720906229,-0.200541336127391,0.841057232985046,0.975480433702318
"RIBC2",59.6499724620684,0.142756694050958,0.712086517741835,0.200476614139062,0.841107845947422,0.975480433702318
"DGKK",5.11492782035123,-0.323160817067696,1.61230389628794,-0.200434184778514,0.841141026304683,NA
"SP100",3990.69952010169,-0.0749645619811279,0.37426229793471,-0.200299528952835,0.841246330924558,0.975480433702318
"AC114271.1",49.3953644211676,-0.0988791218535226,0.493744915791555,-0.200263574754999,0.841274448592844,0.975480433702318
"MT-CO3",95381.8137335701,0.0867648744616113,0.433284545336917,0.200249178964239,0.841285706752794,0.975480433702318
"SNTB1",195.227083105443,0.086374843409841,0.431338617281351,0.200248343063382,0.841286360466095,0.975480433702318
"FUT4",81.6318601518582,-0.100273361035696,0.500872355988626,-0.20019743520837,0.841326172979845,0.975480433702318
"LRIF1",1553.67516843401,-0.12490101271983,0.624336031093604,-0.200054147925838,0.841438233049535,0.975480433702318
"AC008467.1",7.98872798868531,-0.215354116149802,1.07680061340581,-0.199994421872271,0.841484943696417,0.975480433702318
"MRGBP",196.577618549627,0.0716939307461954,0.358543298116909,0.199958920227309,0.841512709143728,0.975480433702318
"CERK",1691.7723650332,0.0815730640341559,0.407973767851462,0.19994683595406,0.841522160166319,0.975480433702318
"PPIB",9330.13555050517,-0.0756018022943923,0.378237905216875,-0.199878968373208,0.841575239334016,0.975480433702318
"RPP25",119.318005671743,0.10323958404971,0.516827930265396,0.199756201249989,0.841671257208511,0.975480433702318
"SLC4A11",3.91948584090796,-0.268944719456012,1.34658140695211,-0.199724070202892,0.841696387736167,NA
"GHRLOS",11.5187214542282,-0.178112496564879,0.891803783649784,-0.199721620193108,0.841698303959161,0.975480433702318
"CNOT6L",3472.63626072696,0.105271680466397,0.527223945891858,0.199671659997003,0.841737379467428,0.975480433702318
"APMAP",2521.11827512308,-0.0794722566820401,0.398231230290215,-0.199563094597387,0.841822293371598,0.975508481890584
"PTGES",12.9950635341746,0.238645634520045,1.19677887445402,0.199406623574399,0.841944679664546,0.97557994612028
