"p_val","avg_log2FC","pct.1","pct.2","p_val_adj","cluster","gene"
1.98772950646119e-29,1.53262287556936,0.369,0.133,4.79301215892988e-25,"10","CARD8"
2.43298023851686e-29,1.71371533393418,0.281,0.085,5.86664524913572e-25,"10","UBE2M"
2.87955889603664e-29,1.65926754991181,0.328,0.11,6.94348036601314e-25,"10","ANKS1A"
2.9330901201627e-29,1.83996545308336,0.266,0.078,7.07256020674832e-25,"10","JKAMP"
3.10787706407376e-29,1.58639723251665,0.365,0.133,7.49402396460105e-25,"10","HNRNPUL2"
3.11325750400141e-29,1.43984582098733,0.398,0.15,7.50699781939861e-25,"10","TCEAL4"
3.40566730720346e-29,1.96391765336733,0.274,0.083,8.21208557785971e-25,"10","DTX3L"
4.05740845658179e-29,1.14872085653743,0.624,0.326,9.78362901135567e-25,"10","RAB32"
4.13336323577739e-29,0.754816226341349,0.905,0.716,9.96677877043003e-25,"10","RNF130"
4.2526379968636e-29,0.859410837666149,0.836,0.547,1.02543860018372e-24,"10","APLP2"
5.94232749689954e-29,1.79373244901316,0.277,0.084,1.43287342932739e-24,"10","SUZ12"
6.37034341926036e-29,1.3564820725973,0.533,0.247,1.53608090868625e-24,"10","FCGR1A"
1.00203609849214e-28,1.31486559322602,0.577,0.296,2.4162096442941e-24,"10","ITGA4"
1.06392095833088e-28,0.942221767620778,0.814,0.586,2.56543260682325e-24,"10","CLTA"
1.0774461804242e-28,1.4652108859966,0.35,0.123,2.59804597485687e-24,"10","ATF7IP"
1.17758937558198e-28,1.87215933040814,0.281,0.088,2.83952126134084e-24,"10","ITPRIPL2"
1.30603835125052e-28,1.12168571261015,0.529,0.24,3.14925027637038e-24,"10","ETV6"
1.58502582945624e-28,1.35633571407581,0.482,0.211,3.82197278256782e-24,"10","NFIC"
1.84946378928345e-28,1.08812891729864,0.653,0.346,4.45961203509919e-24,"10","CASP1"
1.90033837586871e-28,1.07287284647293,0.653,0.356,4.58228592573223e-24,"10","RRBP1"
2.03170619697177e-28,1.69932273354592,0.288,0.091,4.89905315275803e-24,"10","ABHD17A"
2.87795694568312e-28,1.71347225136564,0.292,0.093,6.93961758312572e-24,"10","CCNG2"
2.90129344632331e-28,1.25469704968403,0.511,0.23,6.99588888711941e-24,"10","RENBP"
3.05713082742938e-28,1.39413484775337,0.442,0.183,7.37165956418046e-24,"10","CRYL1"
