"","baseMean","log2FoldChange","lfcSE","stat","pvalue","padj"
"DDX18",1926.55777356922,0.071066291264363,0.216012487432658,0.328991587981774,0.742162046269571,0.99101219419344
"PPP1R26",11.7345243767661,-0.308930819221361,0.93907474376412,-0.328973621400002,0.742175626394674,0.99101219419344
"AC024560.5",13.6803472236696,-0.290406742095466,0.882822514376194,-0.328952578084926,0.742191532185136,0.99101219419344
"MLLT10",528.914202074723,0.0975886050644875,0.296863275011717,0.328732494986575,0.742357890690993,0.991083207409104
"ACO2",817.807357129607,0.08058592263098,0.245161348814208,0.32870565862342,0.742378176839906,0.991083207409104
"ATP6V0E2-AS1",44.3134099893207,-0.157524525763509,0.479408720133627,-0.328580852095477,0.742472522966174,0.991095329654688
"AC245052.4",6.26600447082675,-0.375888117897645,1.14463967059747,-0.328389909552447,0.742616871375178,NA
"QSOX2",71.9316409051829,0.134095444049721,0.408533560696355,0.328236054392086,0.742733189114908,0.991095329654688
"TAPT1-AS1",8.83031906129942,0.310491777999166,0.946429037178876,0.328066622854982,0.742861289719696,NA
"ALDH1B1",21.6128427028795,-0.251286219109676,0.76606806861387,-0.328020745681719,0.742895976893815,0.991095329654688
"AC087164.1",48.8514498785091,0.199752310342285,0.609002022901292,0.327999420085114,0.742912101096409,0.991095329654688
"COA5",239.692331326429,-0.103749880481763,0.316693788292598,-0.327603143216397,0.743211745044998,0.991095329654688
"FBH1",202.544979253723,0.108808168711629,0.332139040581408,0.327598250784253,0.743215444690814,0.991095329654688
"KNG1",50.6616535007875,0.551641284438146,1.68417849478766,0.327543242088301,0.74325704254697,0.991095329654688
"DHRS4-AS1",70.392441368062,0.153018407034441,0.467174684332275,0.327540023392208,0.743259476564567,0.991095329654688
"AP003307.1",67.9159467914615,0.136502361389176,0.416825051579603,0.327481183944885,0.743303972130947,0.991095329654688
"STK35",196.088580675171,0.131442533200464,0.401398263763325,0.327461638643176,0.743318752868561,0.991095329654688
"ZBTB1",3063.44625223975,-0.151058737940325,0.461648747602619,-0.327215742975121,0.743504714555487,0.991095329654688
"MRPL44",641.618139243681,0.0934554064114803,0.285617729663471,0.327204499950315,0.743513217591984,0.991095329654688
"AL023803.3",20.8733153796318,0.245749073403851,0.751673188608422,0.326936063608718,0.743716243776173,0.991095329654688
